"case","rho","alpha","n","p","sparsity","loglambda","iter","precision.theory","precision.mean","precision.sd","power.theory","power.mean","power.sd","precision.low","precision.upp","power.low","power.upp"
"banded",0.4,0.5,500,1000,0.1,-2.5,500,0.737019358639976,0.738184,0.0221157037578597,0.210935775915601,0.20982,0.0423338151340936,0.736245473094665,0.740122526905335,0.20610927749524,0.21353072250476
"banded",0.4,0.5,500,1000,0.1,-2,500,0.740533085218883,0.741496,0.0223888477820995,0.220923002957097,0.21952,0.0419199733818698,0.739533530965316,0.743458469034684,0.215845552324204,0.223194447675796
"banded",0.4,0.5,500,1000,0.1,-1.5,500,0.744836663335307,0.745688,0.0217535535069644,0.236678074599212,0.23534,0.0409124927635589,0.743781216963765,0.747594783036235,0.231753861894027,0.238926138105973
"banded",0.4,0.5,500,1000,0.1,-1,500,0.747885890617913,0.749324,0.0219143675018471,0.261144622062302,0.26076,0.0421304206564494,0.747403120995612,0.751244879004387,0.257067105807267,0.264452894192732
"banded",0.4,0.5,500,1000,0.1,-0.5,500,0.741739907128198,0.742848,0.0223959830351835,0.293140121138688,0.29264,0.0423724113366819,0.740884905532807,0.744811094467192,0.288925894388919,0.296354105611081
"banded",0.4,0.5,500,1000,0.1,0,500,0.710182567903201,0.711916,0.0235985322732347,0.324944355939297,0.3252,0.0445120505626351,0.709847497444579,0.713984502555422,0.321298346741662,0.329101653258338
"banded",0.4,0.5,500,1000,0.1,0.5,500,0.625156003303605,0.627148,0.0272575869822733,0.345227099847144,0.34794,0.0478972304980023,0.624758767158117,0.629537232841883,0.343741622637562,0.352138377362438
"blockdiag",0.8,0.5,500,1000,0.01,-3,500,0.803514258740972,0.805388,0.0202731214890509,0.840171608332682,0.8416,0.105126319664356,0.803610982551587,0.807165017448412,0.83238527179784,0.85081472820216
"blockdiag",0.8,0.5,500,1000,0.01,-2.5,500,0.808250048576364,0.809988,0.020045435764532,0.852442850773558,0.8516,0.102754839857928,0.808230940085283,0.811745059914718,0.842593141167974,0.860606858832026
"blockdiag",0.8,0.5,500,1000,0.01,-2,500,0.815045735139592,0.81628,0.0189360700647995,0.869480497552429,0.8714,0.0962318093056786,0.81462018027625,0.81793981972375,0.862964910005553,0.879835089994448
"blockdiag",0.8,0.5,500,1000,0.01,-1.5,500,0.825229801141194,0.826588,0.0180868051640439,0.893423271953765,0.8972,0.0901577330774645,0.82500262162697,0.82817337837303,0.889297326261547,0.905102673738453
"blockdiag",0.8,0.5,500,1000,0.01,-1,500,0.8391230760432,0.83986,0.0170272797743217,0.923936331619961,0.9266,0.0832243509146832,0.838367493122146,0.841352506877854,0.919305064003682,0.933894935996318
"blockdiag",0.8,0.5,500,1000,0.01,-0.5,500,0.851829573157584,0.852492000000001,0.0158714126491298,0.953861682832034,0.956,0.064748627549463,0.85110080934277,0.853883190657231,0.950324532560104,0.961675467439896
"blockdiag",0.8,0.5,500,1000,0.01,0,500,0.855233898704932,0.855552,0.015937481062113,0.976744077737955,0.9782,0.0463579347710019,0.854155018191036,0.856948981808964,0.974136547856977,0.982263452143023
"blockdiag",0.8,0.5,500,1000,0.01,0.5,500,0.848773110711115,0.849892000000001,0.0165868195011076,0.990177185382393,0.9912,0.0283578619905194,0.848438101167349,0.851345898832653,0.988714323801391,0.993685676198608
"blockdiag",0.8,0.5,500,1000,0.05,-3,500,0.763006779348867,0.764831999999999,0.0208975882433543,0.304891911173808,0.30312,0.0644248921882445,0.763000245627184,0.766663754372814,0.29747290921566,0.30876709078434
"blockdiag",0.8,0.5,500,1000,0.05,-2.5,500,0.76729422317111,0.768872,0.0205988407557552,0.315476683821359,0.31408,0.0649475941044772,0.767066431999047,0.770677568000952,0.308387092372607,0.319772907627393
"blockdiag",0.8,0.5,500,1000,0.05,-2,500,0.773296762792186,0.774264,0.0199669642992282,0.331290728667211,0.32932,0.065916823765338,0.772513818412486,0.776014181587513,0.323542135647033,0.335097864352967
"blockdiag",0.8,0.5,500,1000,0.05,-1.5,500,0.781720777247842,0.782504,0.019529587645088,0.35618108324819,0.35584,0.0658434896573725,0.78079215616656,0.784215843833441,0.350068563665012,0.361611436334988
"blockdiag",0.8,0.5,500,1000,0.05,-1,500,0.79182470495548,0.7931,0.0192212620248426,0.394815102578056,0.3948,0.065878980564064,0.791415182098765,0.794784817901235,0.389025452749878,0.400574547250122
"blockdiag",0.8,0.5,500,1000,0.05,-0.5,500,0.79621961894864,0.799039999999999,0.0190000105474077,0.446326459736944,0.4452,0.0666651970445898,0.797374575645836,0.800705424354162,0.439356537836855,0.451043462163145
"blockdiag",0.8,0.5,500,1000,0.05,0,500,0.777406912185466,0.7803,0.0209302209328185,0.50032979954817,0.49972,0.0666694174449192,0.778465385245837,0.782134614754162,0.493876167902456,0.505563832097544
"blockdiag",0.8,0.5,500,1000,0.05,0.5,500,0.705997931988782,0.709084,0.0258976121801464,0.539830766794548,0.5422,0.0678495919978045,0.706813974205443,0.711354025794558,0.536252721041854,0.548147278958147
"blockdiag",0.8,0.5,500,1000,0.1,-3,500,0.73744478687582,0.736184,0.0225645843066045,0.185428146143741,0.18414,0.0355526142042116,0.734206126979771,0.738161873020229,0.181023675964173,0.187256324035827
"blockdiag",0.8,0.5,500,1000,0.1,-2.5,500,0.740232935862524,0.738992,0.0223000115926891,0.191507109699945,0.19022,0.0356580227884042,0.737037317800645,0.740946682199356,0.187094436494394,0.193345563505606
"blockdiag",0.8,0.5,500,1000,0.1,-2,500,0.743994871543213,0.743184,0.0223028468576528,0.200596743023191,0.2006,0.0359363721832266,0.741229069278713,0.745138930721286,0.197450038094196,0.203749961905804
"blockdiag",0.8,0.5,500,1000,0.1,-1.5,500,0.748476294087758,0.747756,0.0226616761766262,0.214842316947891,0.21398,0.0354750130811281,0.745769616502131,0.749742383497869,0.210870478002518,0.217089521997482
"blockdiag",0.8,0.5,500,1000,0.1,-1,500,0.751840437435814,0.751,0.0228560012597824,0.236685022557914,0.23414,0.0374254154746062,0.748996583157581,0.753003416842419,0.230859517694974,0.237420482305026
"blockdiag",0.8,0.5,500,1000,0.1,-0.5,500,0.745798669930284,0.745224000000001,0.0219050104534541,0.265318488572997,0.26582,0.0398987646781914,0.743303941177067,0.747144058822934,0.262322719078483,0.269317280921517
"blockdiag",0.8,0.5,500,1000,0.1,0,500,0.713160393427462,0.713875999999999,0.0229934342811177,0.294004765515677,0.2944,0.0403670533727196,0.71186053662212,0.715891463377878,0.290861671764604,0.297938328235396
"blockdiag",0.8,0.5,500,1000,0.1,0.5,500,0.626447708344371,0.628224,0.0254053673340646,0.312529891296549,0.31444,0.0430626890751235,0.625997121368589,0.630450878631411,0.310665388877416,0.318214611122584
"ind",0.8,0.5,500,1000,0.01,-3,500,0.888944084603178,0.888112,0.0157083723511969,0.999910583505996,1,0,0.886735100454988,0.889488899545011,1,1
"ind",0.8,0.5,500,1000,0.01,-2.5,500,0.891923713849971,0.891204,0.0155042945760393,0.999935230397556,1,0,0.889844988660684,0.892563011339316,1,1
"ind",0.8,0.5,500,1000,0.01,-2,500,0.896036604793885,0.895512,0.0153066797474103,0.999960030081394,1,0,0.894170310364139,0.896853689635861,1,1
"ind",0.8,0.5,500,1000,0.01,-1.5,500,0.901819154822139,0.901635999999999,0.0146133707682527,0.999982298751316,1,0,0.900355081575605,0.902916918424393,1,1
"ind",0.8,0.5,500,1000,0.01,-1,500,0.909351401412074,0.909608,0.0145452901976505,0.999996059501423,1,0,0.908333049100731,0.910882950899269,1,1
"ind",0.8,0.5,500,1000,0.01,-0.5,500,0.915043927220533,0.91562,0.0134253521428796,0.999999730159622,1,0,0.914443215999477,0.916796784000524,1,1
"ind",0.8,0.5,500,1000,0.01,0,500,0.915140364322836,0.91604,0.0132174051764784,0.999999997067009,1,0,0.914881443354738,0.917198556645261,1,1
"ind",0.8,0.5,500,1000,0.01,0.5,500,0.911670905343571,0.912468,0.0132851030830722,0.999999999992448,1,0,0.911303509371592,0.913632490628409,1,1
"ind",0.8,0.5,500,1000,0.05,-3,500,0.853839481255008,0.852715999999999,0.018488997540703,0.841780948671655,0.83972,0.0456606108452957,0.851095367910795,0.854336632089203,0.835717670994026,0.843722329005974
"ind",0.8,0.5,500,1000,0.05,-2.5,500,0.857485016328286,0.856248000000001,0.0180069708167696,0.85420246088584,0.85216,0.0456804971035918,0.854669619416047,0.857826380583955,0.848155927886631,0.856164072113369
"ind",0.8,0.5,500,1000,0.05,-2,500,0.862396113623717,0.861232,0.017294402815289,0.871045530602998,0.86968,0.042927650370509,0.85971607875525,0.862747921244749,0.865917225541762,0.873442774458238
"ind",0.8,0.5,500,1000,0.05,-1.5,500,0.86893686712458,0.868008000000001,0.0168468266191075,0.89451496186566,0.89336,0.0403679271090077,0.866531310538602,0.8694846894614,0.889821595178241,0.896898404821759
"ind",0.8,0.5,500,1000,0.05,-1,500,0.876202711556043,0.875368,0.0164086276733994,0.925891720940496,0.92416,0.0346799625086187,0.873929720369707,0.876806279630292,0.921120167257845,0.927199832742155
"ind",0.8,0.5,500,1000,0.05,-0.5,500,0.877889074260609,0.877972,0.0159927092607537,0.958847364181125,0.95664,0.0274192273424346,0.876570177225984,0.879373822774016,0.954236598755854,0.959043401244146
"ind",0.8,0.5,500,1000,0.05,0,500,0.860706323967617,0.860836000000001,0.0174396498466439,0.981454875174395,0.9804,0.0199357686016737,0.859307347291615,0.862364652708388,0.97865255283594,0.98214744716406
"ind",0.8,0.5,500,1000,0.05,0.5,500,0.803685324404132,0.805556,0.0225501192848179,0.990962808643587,0.99036,0.0136029585370949,0.803579394894834,0.807532605105166,0.989167648112625,0.991552351887375
"ind",0.8,0.5,500,1000,0.1,-3,500,0.821009391757122,0.82024,0.0204680306957245,0.605168519892331,0.60284,0.037634653369847,0.818445898006353,0.822034101993646,0.599541177184811,0.606138822815189
"ind",0.8,0.5,500,1000,0.1,-2.5,500,0.824068572120273,0.823352,0.0202891941386935,0.621102313755074,0.61898,0.0377943968448464,0.82157357372173,0.82513042627827,0.615667175051864,0.622292824948136
"ind",0.8,0.5,500,1000,0.1,-2,500,0.827931469395035,0.827255999999999,0.0195190278676423,0.643578132305764,0.64254,0.0375255210418046,0.825545081771862,0.828966918228137,0.63925074305513,0.64582925694487
"ind",0.8,0.5,500,1000,0.1,-1.5,500,0.832539993675425,0.831544,0.0192895889142553,0.676732072694755,0.67536,0.0374014456441532,0.829853192982844,0.833234807017156,0.67208161874325,0.67863838125675
"ind",0.8,0.5,500,1000,0.1,-1,500,0.836110857765085,0.835044,0.0184325141844057,0.725354921897443,0.72486,0.0369284147457112,0.833428318895268,0.836659681104733,0.72162308172963,0.72809691827037
"ind",0.8,0.5,500,1000,0.1,-0.5,500,0.830379841632037,0.830312,0.0190213111155121,0.78631305119293,0.78776,0.0353650076705077,0.828644708568722,0.831979291431278,0.784660120401899,0.790859879598101
"ind",0.8,0.5,500,1000,0.1,0,500,0.797971443003453,0.797984,0.021311689755636,0.84115380174029,0.8421,0.0339779192711383,0.796115948029247,0.799852051970752,0.839121704060809,0.845078295939191
"ind",0.8,0.5,500,1000,0.1,0.5,500,0.710532874202642,0.7118,0.024035544820737,0.874941335824877,0.8757,0.0325980869153557,0.70969319160586,0.71390680839414,0.872842651699456,0.878557348300544
